iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
548	261	290	261	340	261	290	340
549	263	293	263	340	263	293	340
550	263	293	263	340	263	293	340
551	263	293	263	340	263	293	340
552	264	294	264	340	264	294	340
553	264	294	264	340	264	294	340
554	264	294	264	340	264	294	340
555	264	294	264	340	264	294	340
556	263	293	263	340	263	293	340
557	263	293	263	340	263	293	340
558	264	294	264	340	264	294	340
559	264	294	264	340	264	294	340
560	264	294	264	340	264	294	340
561	264	294	264	340	264	294	340
562	264	294	264	340	264	294	340
563	264	294	264	340	264	294	340
564	264	294	264	340	264	294	340
565	264	294	264	340	264	294	340
566	264	294	264	340	264	294	340
567	264	294	264	340	264	294	340
568	264	294	264	340	264	294	340
569	264	294	264	340	264	294	340
570	264	294	264	340	264	294	340
571	264	294	264	340	264	294	340
572	264	294	264	340	264	294	340
573	264	294	264	340	264	294	340
574	264	294	264	340	264	294	340
575	264	294	264	340	264	294	340
576	264	294	264	340	264	294	340
577	264	294	264	340	264	294	340
578	264	294	264	340	264	294	340
579	264	294	264	340	264	294	340
580	264	294	264	340	264	294	340
581	264	294	264	340	264	294	340
582	264	294	264	340	264	294	340
583	264	294	264	340	264	294	340
584	264	294	264	340	264	294	340
585	264	294	264	340	264	294	340
586	264	294	264	340	264	294	340
587	264	294	264	340	264	294	340
588	264	294	264	340	264	294	340
589	264	294	264	340	264	294	340
590	264	294	264	340	264	294	340
591	264	294	264	340	264	294	340
592	264	294	264	340	264	294	340
593	264	294	264	340	264	294	340
594	264	294	264	340	264	294	340
595	264	294	264	340	264	294	340
596	264	294	264	340	264	294	340
597	264	294	264	340	264	294	340
598	264	294	264	340	264	294	340
599	264	294	264	340	264	294	340
600	264	294	264	340	264	294	340
601	264	294	264	340	264	294	340
602	264	294	264	340	264	294	340
603	264	294	264	340	264	294	340
604	264	294	264	340	264	294	340
605	264	294	264	340	264	294	340
606	264	294	264	340	264	294	340
607	264	294	264	340	264	294	340
608	264	294	264	340	264	294	340
609	264	294	264	340	264	294	340
610	264	294	264	340	264	294	340
611	264	294	264	340	264	294	340
612	264	294	264	340	264	294	340
613	264	294	264	340	264	294	340
614	264	294	264	340	264	294	340
615	264	294	264	340	264	294	340
616	264	294	264	340	264	294	340
617	264	294	264	340	264	294	340
618	264	294	264	340	264	294	340
619	264	294	264	340	264	294	340
620	264	294	264	340	264	294	340
621	264	294	264	340	264	294	340
622	264	294	264	340	264	294	340
623	264	294	264	340	264	294	340
624	264	294	264	340	264	294	340
625	264	294	264	340	264	294	340
626	264	294	264	340	264	294	340
627	264	294	264	340	264	294	340
628	264	294	264	340	264	294	340
629	264	294	264	340	264	294	340
630	264	294	264	340	264	294	340
631	264	294	264	340	264	294	340
632	264	294	264	340	264	294	340
633	264	294	264	340	264	294	340
634	264	294	264	340	264	294	340
635	264	294	264	340	264	294	340
636	264	294	264	340	264	294	340
637	264	294	264	340	264	294	340
638	264	294	264	340	264	294	340
639	264	294	264	340	264	294	340
640	264	294	264	340	264	294	340
641	264	294	264	340	264	294	340
642	264	294	264	340	264	294	340
643	264	294	264	340	264	294	340
644	264	294	264	340	264	294	340
645	264	294	264	340	264	294	340
646	264	294	264	340	264	294	340
647	264	294	264	340	264	294	340
648	264	294	264	340	264	294	340
649	264	294	264	340	264	294	340
650	264	294	264	340	264	294	340
651	264	294	264	340	264	294	340
652	264	294	264	340	264	294	340
653	264	294	264	340	264	294	340
654	264	294	264	340	264	294	340
655	264	294	264	340	264	294	340
656	264	294	264	340	264	294	340
657	264	294	264	340	264	294	340
658	264	294	264	340	264	294	340
659	264	294	264	340	264	294	340
660	264	294	264	340	264	294	340
661	264	294	264	340	264	294	340
662	264	294	264	340	264	294	340
663	265	295	265	340	265	295	340
664	265	295	265	340	265	295	340
