iter	Passed	Remaining
667	14082	17539
668	14100	17515
669	14119	17491
670	14145	17476
671	14165	17453
672	14183	17428
673	14201	17404
674	14218	17378
675	14236	17353
676	14255	17329
677	14274	17306
678	14292	17281
679	14311	17257
680	14329	17232
681	14347	17208
682	14374	17194
683	14392	17170
684	14411	17146
685	14429	17121
686	14453	17103
687	14494	17107
688	14527	17100
689	14551	17081
690	14577	17067
691	14599	17047
692	14617	17021
693	14635	16997
694	14654	16974
695	14672	16949
696	14689	16923
697	14709	16901
698	14727	16876
699	14746	16852
700	14777	16843
701	14804	16828
702	14822	16804
703	14840	16780
704	14860	16757
705	14884	16739
706	14902	16714
707	14919	16689
708	14937	16664
709	14955	16640
710	14973	16615
711	14998	16599
712	15018	16576
713	15106	16630
714	15129	16610
715	15148	16586
716	15166	16562
717	15184	16538
718	15209	16521
719	15231	16500
720	15249	16476
721	15268	16452
722	15285	16427
723	15303	16402
724	15321	16377
725	15338	16353
726	15357	16329
727	15375	16304
728	15393	16280
729	15411	16255
730	15436	16239
731	15456	16216
732	15474	16192
733	15492	16167
734	15510	16143
735	15529	16120
736	15560	16109
737	15592	16099
738	15618	16083
739	15643	16066
740	15663	16043
741	15685	16024
742	15703	15999
743	15728	15981
744	15744	15955
745	15762	15931
746	15785	15912
747	15803	15887
748	15825	15867
749	15850	15850
750	15868	15826
751	15886	15802
752	15904	15777
753	15922	15754
754	15941	15730
755	15959	15706
756	15981	15686
757	16000	15662
758	16018	15638
759	16049	15627
760	16069	15604
761	16087	15580
762	16123	15574
763	16147	15555
764	16165	15531
765	16184	15508
766	16202	15484
767	16220	15459
768	16238	15435
769	16261	15416
770	16281	15394
771	16299	15370
772	16319	15347
773	16336	15323
774	16356	15300
775	16374	15277
776	16392	15252
777	16410	15229
778	16428	15205
779	16446	15181
780	16466	15158
781	16493	15143
782	16511	15119
783	16529	15095
784	16558	15082
785	16589	15070
786	16621	15058
787	16643	15038
788	16661	15014
789	16691	15001
790	16710	14978
791	16729	14955
792	16747	14931
793	16766	14908
794	16785	14885
795	16807	14865
796	16827	14842
797	16844	14818
798	16862	14794
799	16883	14772
800	16908	14755
801	16928	14733
802	16947	14710
803	16965	14686
804	16983	14662
805	17001	14638
806	17018	14614
807	17037	14591
808	17054	14567
809	17074	14544
810	17092	14521
811	17110	14497
812	17164	14504
813	17187	14484
814	17206	14461
815	17225	14438
816	17243	14415
817	17263	14393
818	17281	14369
819	17300	14346
820	17322	14326
821	17345	14306
822	17363	14283
823	17383	14261
824	17401	14237
825	17419	14213
826	17435	14189
827	17453	14165
828	17472	14142
829	17490	14119
830	17509	14095
831	17531	14075
832	17554	14055
833	17585	14042
834	17615	14029
835	17646	14016
836	17668	13995
837	17687	13972
838	17704	13948
839	17723	13925
840	17752	13910
841	17774	13890
842	17794	13868
843	17811	13844
844	17828	13819
845	17847	13797
846	17866	13774
847	17884	13750
848	17901	13726
849	17920	13703
850	17939	13681
851	17958	13658
852	17991	13646
853	18008	13622
854	18028	13600
855	18045	13576
856	18065	13554
857	18082	13530
858	18100	13507
859	18118	13483
860	18141	13464
861	18179	13455
862	18197	13432
863	18215	13408
864	18232	13384
865	18250	13361
866	18269	13338
867	18287	13315
868	18304	13291
869	18322	13268
870	18341	13245
871	18368	13228
872	18387	13206
873	18405	13182
874	18422	13159
875	18442	13136
876	18460	13114
877	18479	13091
878	18498	13068
879	18516	13045
880	18533	13021
881	18551	12998
882	18570	12976
883	18603	12963
884	18634	12949
885	18663	12933
886	18682	12911
887	18699	12887
888	18717	12864
889	18734	12840
890	18752	12817
891	18773	12796
892	18799	12778
893	18817	12755
894	18837	12733
895	18854	12710
896	18873	12687
897	18891	12664
898	18909	12641
899	18927	12618
900	18946	12596
901	18965	12573
902	18991	12555
903	19011	12534
904	19029	12511
905	19046	12487
906	19065	12464
907	19084	12442
908	19102	12419
909	19120	12396
910	19141	12375
911	19165	12356
912	19193	12340
913	19211	12317
914	19230	12294
915	19248	12271
916	19266	12249
917	19284	12226
918	19302	12203
919	19321	12181
920	19339	12157
921	19356	12134
922	19371	12109
923	19388	12086
924	19417	12070
925	19436	12047
926	19453	12024
927	19474	12003
928	19493	11981
929	19511	11958
930	19529	11936
931	19547	11913
932	19577	11897
933	19611	11884
934	19644	11870
935	19665	11849
936	19683	11826
937	19703	11805
938	19722	11782
939	19739	11759
940	19757	11736
941	19775	11713
942	19793	11691
943	19810	11667
944	19827	11644
945	19846	11622
946	19872	11604
947	19890	11581
948	19909	11559
949	19928	11537
950	19946	11514
951	19964	11492
952	19984	11470
953	20002	11448
954	20019	11424
955	20037	11402
956	20061	11382
957	20083	11362
958	20100	11339
959	20119	11316
960	20157	11305
961	20182	11286
962	20199	11264
963	20217	11241
964	20236	11219
965	20252	11195
966	20279	11178
967	20298	11155
968	20316	11133
969	20333	11110
970	20348	11085
971	20365	11063
972	20384	11040
973	20405	11019
974	20420	10995
975	20438	10972
976	20456	10950
977	20482	10932
978	20501	10910
979	20519	10887
980	20537	10865
981	20556	10843
982	20574	10820
983	20605	10805
984	20638	10790
985	20666	10773
986	20690	10754
987	20712	10733
988	20731	10711
989	20749	10689
990	20768	10666
991	20786	10644
992	20803	10621
993	20821	10599
994	20839	10576
995	20857	10554
996	20883	10535
997	20902	10514
998	20920	10491
999	20939	10469
1000	20957	10447
1001	20976	10425
1002	20994	10402
1003	21012	10380
1004	21029	10357
1005	21045	10334
1006	21064	10312
1007	21083	10290
1008	21108	10271
1009	21127	10249
1010	21144	10227
1011	21185	10216
1012	21222	10202
1013	21271	10195
1014	21304	10180
1015	21323	10157
1016	21356	10142
1017	21380	10123
1018	21399	10101
1019	21416	10078
1020	21434	10056
1021	21453	10033
1022	21471	10011
1023	21490	9989
1024	21510	9968
1025	21533	9948
1026	21553	9926
1027	21571	9904
1028	21590	9882
1029	21608	9860
1030	21644	9846
1031	21675	9829
1032	21697	9809
1033	21718	9787
1034	21743	9768
1035	21761	9746
1036	21779	9724
1037	21796	9701
1038	21813	9678
1039	21830	9655
1040	21848	9633
1041	21864	9610
1042	21881	9587
1043	21899	9565
1044	21917	9543
1045	21944	9524
1046	21962	9502
1047	21980	9480
1048	21998	9458
1049	22016	9435
1050	22034	9413
1051	22051	9390
1052	22070	9369
1053	22087	9346
1054	22106	9324
1055	22127	9303
1056	22151	9283
1057	22169	9261
1058	22230	9257
1059	22248	9235
1060	22265	9212
1061	22282	9190
1062	22299	9167
1063	22317	9145
1064	22347	9127
1065	22366	9105
1066	22384	9083
1067	22403	9061
1068	22420	9039
1069	22438	9017
1070	22456	8995
1071	22474	8972
1072	22491	8950
1073	22509	8928
1074	22527	8906
1075	22545	8883
1076	22571	8865
1077	22594	8845
1078	22612	8822
1079	22642	8805
1080	22679	8790
1081	22708	8772
1082	22738	8755
1083	22763	8735
1084	22798	8720
1085	22821	8699
1086	22839	8677
1087	22857	8655
1088	22875	8633
1089	22894	8611
1090	22911	8589
1091	22930	8567
1092	22948	8545
1093	22966	8523
1094	22985	8501
1095	23003	8479
1096	23029	8460
1097	23048	8438
1098	23065	8416
1099	23084	8394
1100	23103	8372
1101	23121	8350
1102	23140	8328
1103	23157	8306
1104	23185	8287
1105	23223	8273
1106	23275	8263
1107	23300	8243
1108	23326	8224
1109	23351	8204
1110	23376	8184
1111	23400	8164
1112	23424	8144
1113	23455	8127
1114	23483	8108
1115	23521	8093
1116	23544	8073
1117	23570	8053
1118	23595	8033
1119	23626	8016
1120	23652	7996
1121	23689	7981
1122	23728	7965
1123	23760	7948
1124	23785	7928
1125	23808	7908
1126	23829	7886
1127	23846	7864
1128	23863	7841
1129	23881	7819
1130	23909	7800
1131	23929	7779
1132	23951	7758
1133	23970	7736
1134	23988	7714
1135	24007	7692
1136	24026	7670
1137	24044	7648
1138	24063	7626
1139	24081	7604
1140	24099	7582
1141	24121	7561
1142	24141	7540
1143	24160	7518
1144	24178	7496
1145	24196	7474
1146	24214	7452
1147	24231	7429
1148	24294	7421
1149	24321	7402
1150	24350	7383
1151	24368	7361
1152	24385	7338
1153	24403	7316
1154	24423	7295
1155	24441	7273
1156	24459	7251
1157	24477	7229
1158	24495	7206
1159	24512	7184
1160	24535	7164
1161	24555	7142
1162	24573	7120
1163	24592	7098
1164	24611	7077
1165	24629	7055
1166	24646	7032
1167	24664	7010
1168	24681	6988
1169	24699	6966
1170	24729	6947
1171	24761	6929
1172	24791	6911
1173	24813	6890
1174	24831	6868
1175	24849	6846
1176	24867	6824
1177	24885	6802
1178	24903	6780
1179	24920	6758
1180	24938	6736
1181	24956	6714
1182	24986	6695
1183	25007	6674
1184	25025	6652
1185	25042	6630
1186	25059	6608
1187	25076	6585
1188	25094	6563
1189	25113	6542
1190	25130	6520
1191	25149	6498
1192	25168	6476
1193	25186	6454
1194	25215	6435
1195	25233	6413
1196	25250	6391
1197	25268	6369
1198	25308	6353
1199	25338	6334
1200	25357	6312
1201	25375	6291
1202	25402	6271
1203	25418	6249
1204	25436	6227
1205	25457	6206
1206	25480	6185
1207	25499	6163
1208	25519	6142
1209	25539	6121
1210	25556	6099
1211	25582	6079
1212	25605	6058
1213	25622	6036
1214	25644	6015
1215	25662	5993
1216	25680	5971
1217	25699	5950
1218	25716	5928
1219	25733	5906
1220	25767	5887
1221	25802	5869
1222	25831	5850
1223	25846	5828
1224	25863	5806
1225	25881	5784
1226	25899	5762
1227	25917	5740
1228	25934	5718
1229	25953	5697
1230	25971	5675
1231	25989	5653
1232	26010	5632
1233	26032	5611
1234	26049	5589
1235	26067	5567
1236	26086	5546
1237	26104	5524
1238	26122	5502
1239	26140	5481
1240	26158	5459
1241	26176	5437
1242	26193	5415
1243	26212	5394
1244	26236	5373
1245	26256	5352
1246	26274	5330
1247	26294	5309
1248	26337	5292
1249	26362	5272
1250	26387	5252
1251	26406	5230
1252	26435	5211
1253	26456	5190
1254	26474	5168
1255	26493	5146
1256	26510	5124
1257	26526	5102
1258	26546	5081
1259	26563	5059
1260	26580	5037
1261	26598	5016
1262	26622	4995
1263	26642	4974
1264	26660	4952
1265	26678	4931
1266	26696	4909
1267	26714	4887
1268	26731	4866
1269	26748	4844
1270	26767	4822
1271	26788	4801
1272	26819	4782
1273	26848	4762
1274	26877	4743
1275	26896	4721
1276	26914	4700
1277	26932	4678
1278	26951	4656
1279	26969	4635
1280	26986	4613
1281	27004	4592
1282	27022	4570
1283	27040	4548
1284	27064	4528
1285	27084	4507
1286	27103	4485
1287	27120	4463
1288	27138	4442
1289	27156	4420
1290	27174	4399
1291	27191	4377
1292	27209	4356
1293	27226	4334
1294	27245	4312
1295	27261	4291
1296	27288	4271
1297	27308	4249
1298	27325	4228
1299	27392	4214
1300	27409	4192
1301	27427	4170
1302	27445	4149
1303	27462	4127
1304	27479	4106
1305	27502	4085
1306	27524	4064
1307	27545	4043
1308	27564	4021
1309	27577	3999
1310	27595	3978
1311	27613	3956
1312	27632	3935
1313	27650	3913
1314	27668	3892
1315	27686	3871
1316	27704	3849
1317	27730	3829
1318	27748	3807
1319	27764	3786
1320	27782	3764
1321	27804	3743
1322	27833	3723
1323	27864	3704
1324	27886	3683
1325	27904	3661
1326	27928	3641
1327	27948	3619
1328	27965	3598
1329	27984	3576
1330	28001	3555
1331	28020	3534
1332	28038	3512
1333	28056	3491
1334	28074	3469
1335	28092	3448
1336	28111	3427
1337	28135	3406
1338	28152	3385
1339	28166	3363
1340	28183	3341
1341	28202	3320
1342	28226	3299
1343	28258	3280
1344	28276	3258
1345	28297	3237
1346	28334	3218
1347	28351	3196
1348	28390	3177
1349	28418	3157
1350	28436	3136
1351	28454	3114
1352	28472	3093
1353	28490	3072
1354	28510	3050
1355	28536	3030
1356	28554	3009
1357	28577	2988
1358	28596	2966
1359	28613	2945
1360	28630	2924
1361	28648	2902
1362	28664	2881
1363	28683	2859
1364	28702	2838
1365	28721	2817
1366	28738	2796
1367	28764	2775
1368	28782	2754
1369	28796	2732
1370	28814	2711
1371	28848	2691
1372	28881	2671
1373	28902	2650
1374	28920	2629
1375	28939	2607
1376	28964	2587
1377	28983	2565
1378	29001	2544
1379	29018	2523
1380	29036	2502
1381	29054	2480
1382	29072	2459
1383	29090	2438
1384	29108	2416
1385	29123	2395
1386	29141	2374
1387	29166	2353
1388	29187	2332
1389	29207	2311
1390	29228	2290
1391	29246	2269
1392	29264	2247
1393	29282	2226
1394	29310	2206
1395	29353	2186
1396	29400	2167
1397	29431	2147
1398	29449	2126
1399	29469	2104
1400	29487	2083
1401	29506	2062
1402	29525	2041
1403	29550	2020
1404	29567	1999
1405	29585	1978
1406	29603	1956
1407	29620	1935
1408	29638	1914
1409	29656	1892
1410	29674	1871
1411	29692	1850
1412	29710	1829
1413	29729	1808
1414	29753	1787
1415	29771	1766
1416	29788	1744
1417	29805	1723
1418	29823	1702
1419	29858	1682
1420	29888	1661
1421	29917	1641
1422	29939	1620
1423	29964	1599
1424	29982	1578
1425	30002	1556
1426	30052	1537
1427	30084	1516
1428	30103	1495
1429	30122	1474
1430	30161	1454
1431	30182	1433
1432	30200	1412
1433	30218	1390
1434	30236	1369
1435	30254	1348
1436	30273	1327
1437	30292	1306
1438	30310	1284
1439	30327	1263
1440	30345	1242
1441	30364	1221
1442	30390	1200
1443	30460	1181
